Index,cityCode,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030
868,21433,349,409,480,537,597,680,777,887,1013,1106,1199,1304,1419,1541,1683,1880,2102
869,21434,103,119,136,154,175,205,242,273,306,342,383,426,475,528,587,661,743
870,21435,155,190,229,277,335,419,527,658,821,914,999,1197,1453,1760,2063,2338,2614
871,21436,105,144,202,267,349,452,583,770,1018,1168,1309,1490,1700,1935,2178,2447,2733
872,21439,130,143,154,176,203,255,325,387,457,512,569,650,746,854,966,1089,1222
873,21441,14,26,48,60,71,102,152,184,215,254,300,338,378,421,469,529,596
874,21443,37,44,53,71,98,132,177,192,204,205,206,262,334,425,523,607,679
875,21444,61,73,87,107,131,185,273,294,308,354,410,479,561,655,763,872,973
876,21446,28,42,64,98,150,228,348,401,454,578,743,811,884,965,1073,1212,1350
877,21447,511,679,902,1052,1170,1304,1452,1716,2035,2097,2138,2265,2399,2544,2771,3103,3433
878,21448,127,160,201,237,272,319,377,425,478,505,531,577,627,682,757,856,955
879,205695,47,50,54,58,62,67,71,76,82,180,415,621,930,1391,1896,2236,2486
880,21449,20,22,25,30,39,50,64,95,143,201,282,295,309,324,352,397,445
881,21452,113,130,149,204,300,406,535,569,596,668,751,847,954,1076,1221,1385,1541
882,21453,107,127,151,171,190,207,223,238,254,263,273,284,297,310,336,379,424
883,205696,34,43,54,67,83,105,131,164,206,289,409,574,797,1107,1438,1680,1870
884,21454,1452,1972,2679,3297,3915,4813,5984,7009,8175,8322,8390,8988,9630,10323,11298,12589,13812
885,21455,63,81,105,128,152,185,227,276,336,375,418,472,534,604,688,783,874
886,21479,223,283,361,399,418,502,629,755,902,989,1077,1200,1336,1489,1676,1895,2104
887,21459,208,259,322,369,411,457,508,591,689,725,757,789,821,856,924,1038,1156
888,21460,74,95,122,151,186,205,217,261,318,350,382,396,411,426,459,517,579
889,206494,59,68,79,91,105,121,140,193,269,295,317,358,404,457,520,592,662
