ID,STATUT,cityCode,INSEE_ARR,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,TYPE,cityName,latitude,longitude,radius
COMMUNE__FRC000009753136,Commune simple,19180,3,19,75,200066744,SAINT ANGEL,709,COM,Saint-Angel,2.231547,45.494314,
COMMUNE__FRC000009753395,Commune simple,19248,2,19,75,241927243,SAINT YBARD,685,COM,Saint-Ybard,1.518623,45.449297,
COMMUNE__FRC000009752352,Commune simple,19080,3,19,75,200066744,EYGURANDE,685,COM,Eygurande,2.423196,45.677026,
COMMUNE__FRC000009754304,Commune simple,19289,1,19,75,200043172,YSSANDON,682,COM,Yssandon,1.383573,45.204404,
COMMUNE__FRC000009753151,Commune simple,19129,2,19,75,241927243,MASSERET,676,COM,Masseret,1.519838,45.541895,
COMMUNE__FRC000009753396,Commune simple,19060,2,19,75,241927243,CONDAT SUR GANAVEIX,672,COM,Condat-sur-Ganaveix,1.598742,45.482422,
COMMUNE__FRC000009753149,Commune simple,19250,2,19,75,241927243,SALON LA TOUR,658,COM,Salon-la-Tour,1.532706,45.502594,
COMMUNE__FRC000009754729,Commune simple,19191,1,19,75,200043172,SAINT CERNIN DE LARCHE,648,COM,Saint-Cernin-de-Larche,1.412977,45.091837,
COMMUNE__FRC000009754923,Commune simple,19140,2,19,75,200066751,MONCEAUX SUR DORDOGNE,636,COM,Monceaux-sur-Dordogne,1.889541,45.071876,
COMMUNE__FRC000009754939,Commune simple,19147,1,19,75,200043172,NESPOULS,635,COM,Nespouls,1.502537,45.056643,
COMMUNE__FRC000009753623,Commune simple,19213,2,19,75,241927201,SAINT JAL,629,COM,Saint-Jal,1.649124,45.393099,
COMMUNE__FRC000009753856,Commune simple,19024,1,19,75,200066603,BEYSSAC,615,COM,Beyssac,1.418982,45.368681,
COMMUNE__FRC000009754708,Commune simple,19258,2,19,75,200066751,SERVIERES LE CHATEAU,613,COM,Servières-le-Château,2.022109,45.140223,
COMMUNE__FRC000009754092,Commune simple,19042,2,19,75,241927201,CHANTEIX,610,COM,Chanteix,1.623048,45.312752,
COMMUNE__FRC000009753613,Commune simple,19113,3,19,75,200066744,LIGINIAC,606,COM,Liginiac,2.323731,45.40476,
COMMUNE__FRC000009753133,Commune simple,19201,3,19,75,200066744,SAINT EXUPERY LES ROCHES,596,COM,Saint-Exupéry-les-Roches,2.369713,45.511503,
COMMUNE__FRC000009753839,Commune simple,19143,3,19,75,241900133,MONTAIGNAC SAINT HIPPOLYTE,581,COM,Montaignac-Saint-Hippolyte,2.015208,45.346385,
COMMUNE__FRC000009754103,Commune simple,19035,1,19,75,200043172,CHABRIGNAC,572,COM,Chabrignac,1.342489,45.313904,
COMMUNE__FRC000009753627,Commune simple,19270,1,19,75,200066603,TROCHE,557,COM,Troche,1.447808,45.397184,
COMMUNE__FRC000009753853,Commune simple,19286,1,19,75,200043172,VIGNOLS,550,COM,Vignols,1.400872,45.328202,
COMMUNE__FRC000009753148,Commune simple,19131,2,19,75,241927243,MEILHARDS,517,COM,Meilhards,1.63616,45.546839,
COMMUNE__FRC000009754718,Commune simple,19105,1,19,75,200066769,LANTEUIL,507,COM,Lanteuil,1.640053,45.117671,
COMMUNE__FRC000009754099,Commune simple,19196,1,19,75,200043172,SAINT CYR LA ROCHE,505,COM,Saint-Cyr-la-Roche,1.38403,45.278653,
COMMUNE__FRC000009754282,Commune simple,19264,3,19,75,200066744,SOURSAC,505,COM,Soursac,2.203733,45.261452,
COMMUNE__FRC000009753843,Commune simple,19081,2,19,75,241927201,EYREIN,500,COM,Eyrein,1.943335,45.3274,
COMMUNE__FRC000009753394,Commune simple,19079,2,19,75,241927243,EYBURIE,497,COM,Eyburie,1.645051,45.469147,
COMMUNE__FRC000009754083,Commune simple,19236,2,19,75,241927201,SAINT PRIEST DE GIMEL,495,COM,Saint-Priest-de-Gimel,1.894138,45.308231,
COMMUNE__FRC000009754084,Commune simple,19220,2,19,75,241927201,SAINT MARTIAL DE GIMEL,487,COM,Saint-Martial-de-Gimel,1.886701,45.272543,
COMMUNE__FRC000009754937,Commune simple,19057,1,19,75,200066769,COLLONGES LA ROUGE,486,COM,Collonges-la-Rouge,1.654069,45.066345,
COMMUNE__FRC000009754711,Commune simple,19192,2,19,75,200066751,SAINT CHAMANT,486,COM,Saint-Chamant,1.89898,45.126922,
COMMUNE__FRC000009754295,Commune simple,19041,2,19,75,241927201,CHANAC LES MINES,485,COM,Chanac-les-Mines,1.816805,45.270094,
COMMUNE__FRC000009754093,Commune simple,19234,1,19,75,200043172,SAINT PARDOUX L ORTIGIER,480,COM,Saint-Pardoux-l'Ortigier,1.581673,45.300718,
COMMUNE__FRC000009754310,Commune simple,19161,1,19,75,200043172,PERPEZAC LE BLANC,468,COM,Perpezac-le-Blanc,1.327319,45.213579,
COMMUNE__FRC000009754705,Commune simple,19214,2,19,75,200066751,SAINT JULIEN AUX BOIS,466,COM,Saint-Julien-aux-Bois,2.145426,45.124117,
COMMUNE__FRC000009754098,Commune simple,19242,1,19,75,200043172,SAINT SOLVE,460,COM,Saint-Solve,1.403713,45.306262,
COMMUNE__FRC000009753616,Commune simple,19145,3,19,75,241900133,MOUSTIER VENTADOUR,451,COM,Moustier-Ventadour,2.100752,45.379582,
COMMUNE__FRC000009755122,Commune simple,19152,1,19,75,200066769,NONARDS,447,COM,Nonards,1.809163,45.020539,
COMMUNE__FRC000009753626,Commune simple,19076,2,19,75,241927243,ESPARTIGNAC,441,COM,Espartignac,1.595167,45.399243,
COMMUNE__FRC000009753383,Commune simple,19130,3,19,75,200066744,MAUSSAC,439,COM,Maussac,2.126744,45.470643,
COMMUNE__FRC000009754097,Commune simple,19078,1,19,75,200043172,ESTIVAUX,434,COM,Estivaux,1.494385,45.318459,
COMMUNE__FRC000009754719,Commune simple,19043,1,19,75,200043172,CHAPELLE AUX BROCS,427,COM,La Chapelle-aux-Brocs,1.627021,45.14381,
COMMUNE__FRC000009753391,Commune simple,19181,2,19,75,241927201,SAINT AUGUSTIN,423,COM,Saint-Augustin,1.832964,45.43326,
COMMUNE__FRC000009755135,Commune simple,19050,1,19,75,200066769,CHAUFFOUR SUR VELL,419,COM,Chauffour-sur-Vell,1.671028,45.019317,
COMMUNE__FRC000009753628,Commune simple,19230,1,19,75,200066603,SAINT PARDOUX CORBIER,418,COM,Saint-Pardoux-Corbier,1.455137,45.442666,
COMMUNE__FRC000009753858,Commune simple,19059,1,19,75,200066603,CONCEZE,413,COM,Concèze,1.337489,45.360087,
