index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
859,356,India,21416,Thrissur,10.51667,76.21667,,,
860,356,India,21417,Tiruchirappalli,10.805,78.68556,,,
861,356,India,21418,Tirunelveli,8.73333,77.7,,,
862,356,India,21419,Tirupati,13.65,79.41667,,,
863,356,India,21420,Tiruppur,11.11541,77.35456,,,
864,356,India,21423,Tumkur,13.34222,77.10167,,,
865,356,India,21425,Udaipur,24.566108,73.691075,,,
866,356,India,21427,Ujjain,23.18333,75.76667,,,
867,356,India,21430,Vadodara,22.3,73.2,,,
868,356,India,21433,Varanasi (Benares),25.316426,82.982198,,,
869,356,India,21434,Vellore,12.93333,79.13333,,,
870,356,India,21435,Vijayawada,16.51667,80.61667,,,
871,356,India,21436,Visakhapatnam,17.681874,83.209685,,,
872,356,India,21439,Warangal,18,79.58333,,,
873,356,India,21441,Yamunanagar,30.1,77.28333,,,
874,360,Indonesia,21443,Ambon,-3.69543,128.1814,,,
875,360,Indonesia,21444,Balikpapan,-1.26753,116.82887,,,
876,360,Indonesia,21446,Bandar Lampung,-5.4254,105.258,,,
877,360,Indonesia,21447,Bandung,-6.919393,107.608456,,,
878,360,Indonesia,21448,Banjarmasin,-3.32442,114.591,,,
879,360,Indonesia,205695,Batam,1.119078,104.031275,,,
880,360,Indonesia,21449,Bengkulu,-3.800278,102.265278,,,
881,360,Indonesia,21452,Bogor,-6.606481,106.801891,,,
882,360,Indonesia,21453,Cirebon,-6.7063,108.557,,,
883,360,Indonesia,205696,Denpasar,-8.65,115.21667,,,
884,360,Indonesia,21454,Jakarta,-6.211831,106.841646,,,
885,360,Indonesia,21455,Jambi,-1.6,103.61667,,,
886,360,Indonesia,21479,Makassar (Ujung Pandang),-5.144396,119.423639,,,
887,360,Indonesia,21459,Malang,-7.9797,112.6304,,,
888,360,Indonesia,21460,Manado,1.487,124.8455,,,
889,360,Indonesia,206494,Mataram,-8.58333,116.11667,,,
890,360,Indonesia,21461,Medan,3.58333,98.66667,,,
891,360,Indonesia,21462,Padang,-0.94924,100.35427,,,
892,360,Indonesia,21463,Palembang,-2.91673,104.7458,,,
893,360,Indonesia,21467,Pekan Baru,0.53333,101.45,,,
894,360,Indonesia,21469,Pontianak,-0.03333,109.33333,,,
895,360,Indonesia,21471,Samarinda,-0.5,117.15,,,
896,360,Indonesia,21472,Semarang,-6.9932,110.4203,,,
897,360,Indonesia,21473,Sukabumi,-6.91806,106.92667,,,
898,360,Indonesia,21474,Surabaya,-7.288838,112.741078,,,
899,360,Indonesia,21475,Surakarta,-7.55611,110.83167,,,
900,360,Indonesia,206493,Tasikmalaya,-7.327905,108.216618,,,
901,360,Indonesia,21480,Yogyakarta,-7.78278,110.36083,,,
902,364,Iran (Islamic Republic of),21482,Ahvaz,31.3203,48.6693,,,
903,364,Iran (Islamic Republic of),21484,Arak,34.09174,49.68916,,,
904,364,Iran (Islamic Republic of),21485,Ardabil,38.2498,48.2933,,,
905,364,Iran (Islamic Republic of),21488,Bandar Abbas,27.1865,56.2808,,,
906,364,Iran (Islamic Republic of),21493,Esfahan,32.65722,51.67761,,,
907,364,Iran (Islamic Republic of),21498,Eslamshahr,35.562618,51.235883,,,
908,364,Iran (Islamic Republic of),21495,Gorgan,36.84165,54.44361,,,
909,364,Iran (Islamic Republic of),21496,Hamadan,34.79922,48.51456,,,
910,364,Iran (Islamic Republic of),21499,Karaj,35.8355,51.0103,,,
911,364,Iran (Islamic Republic of),21501,Kerman,30.28321,57.07879,,,
1126,554,New Zealand,21958,Christchurch,-43.53333,172.63333,,,
1127,554,New Zealand,21962,Wellington,-41.28664,174.77557,,,
1663,862,Venezuela (Bolivarian Republic of),23224,Guarenas-Guatire,10.46736,-66.60663,,,
1664,862,Venezuela (Bolivarian Republic of),205353,Lagunillas,10.13008,-71.25946,,,
1665,862,Venezuela (Bolivarian Republic of),23226,Maracaibo,10.63167,-71.64056,,,
1666,862,Venezuela (Bolivarian Republic of),23227,Maracay,10.24694,-67.59583,,,
1667,862,Venezuela (Bolivarian Republic of),23228,Maturin,9.75,-63.17667,,,
1668,862,Venezuela (Bolivarian Republic of),23229,Merida,8.59524,-71.1434,,,
1669,862,Venezuela (Bolivarian Republic of),205351,Punto Fijo,11.6956,-70.19957,,,
1670,862,Venezuela (Bolivarian Republic of),23231,San Cristóbal,7.76694,-72.225,,,
1671,862,Venezuela (Bolivarian Republic of),23233,Valencia,10.16202,-68.00765,,,
1672,704,Viet Nam,22450,Bien Hoa,10.95,106.81667,,,
1673,704,Viet Nam,23355,Can Tho,10.03333,105.78333,,,
1674,704,Viet Nam,22455,Da Nang,16.051264,108.212426,,,
1675,704,Viet Nam,22457,Hà Noi,21.0245,105.84117,,,
1676,704,Viet Nam,22456,Hai Phòng,20.86481,106.68345,,,
1677,704,Viet Nam,23366,Hue,16.46667,107.6,,,
1678,704,Viet Nam,23370,Nha Trang,12.25,109.18333,,,
1679,704,Viet Nam,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),10.75,106.66667,,,
1680,704,Viet Nam,23380,Vungtau,10.34599,107.08426,,,
1681,887,Yemen,23237,Adan (Aden),12.798803,45.035902,,,
1682,887,Yemen,23238,Al-Hudaydah,14.79781,42.95452,,,
1683,887,Yemen,23741,Al-Mukalla,14.54248,49.12424,,,
1684,887,Yemen,23745,Ibb,13.96667,44.18333,,,
1685,887,Yemen,23239,Sana'a',15.353115,44.20782,,,
1686,887,Yemen,23240,Ta'izz,13.57952,44.02091,,,
1687,894,Zambia,23274,Kitwe,-12.8166667,28.2,,,
1688,894,Zambia,23277,Lusaka,-15.413374,28.277148,,,
1689,894,Zambia,23279,Ndola,-12.95867,28.63659,,,
1690,716,Zimbabwe,22510,Bulawayo,-20.15,28.58333,,,
1691,716,Zimbabwe,22511,Chitungwiza,-18.01274,31.07555,,,
1692,716,Zimbabwe,22513,Harare,-17.82935,31.05389,,,
