cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20604,351,156,China,Linyi Shandong,35.054142,118.333365,NA,NA,NA,351,15,22,31,44,63,89,128,182,260,542,1130,1333,1510,1706,1896,2070,2204,NA,NA
20606,357,156,China,Liuzhou,24.301725,109.378368,NA,NA,NA,357,118,194,232,267,314,370,435,522,637,809,1027,1201,1396,1619,1830,2006,2137,NA,NA
20612,365,156,China,Luoyang,34.618562,112.456179,NA,NA,NA,365,145,191,251,339,392,459,538,625,725,938,1213,1443,1708,2015,2302,2527,2688,NA,NA
20619,373,156,China,Mianyang Sichuan,31.483888,104.737019,NA,NA,NA,373,74,86,101,119,139,163,191,224,289,468,758,864,960,1065,1170,1277,1364,NA,NA
20622,376,156,China,Nanchang,28.68333,115.88333,NA,NA,NA,376,343,440,564,675,615,688,788,861,912,1226,1648,1915,2203,2527,2834,3095,3285,2,2
20623,377,156,China,Nanchong,30.79508,106.08474,NA,NA,NA,377,156,170,186,200,206,212,218,241,279,411,606,735,880,1050,1210,1335,1426,NA,NA
20625,378,156,China,Nanjing Jiangsu,32.048183,118.789812,NA,NA,NA,378,1037,1130,1230,1340,1459,1589,1731,2144,2893,3518,4279,5137,6162,7369,8476,9260,9754,7,7
20626,380,156,China,Nanning,22.81667,108.31667,NA,NA,NA,380,143,225,323,443,432,509,621,690,759,1118,1624,2072,2619,3234,3800,4188,4438,3,3
20628,381,156,China,Nantong,31.990413,120.865451,NA,NA,NA,381,243,273,305,280,292,328,371,418,470,688,1006,1271,1588,1978,2342,2591,2755,NA,NA
20629,382,156,China,Nanyang   Henan,32.999941,112.52593,NA,NA,NA,382,44,66,99,138,146,154,162,187,228,392,672,785,892,1011,1127,1235,1320,NA,NA
20631,384,156,China,Ningbo,29.87819,121.54945,NA,NA,NA,384,282,309,338,366,377,401,447,525,634,1021,1643,2064,2547,3132,3674,4047,4290,3,3
20639,394,156,China,Putian,25.43944,119.01028,NA,NA,NA,394,79,94,111,132,157,186,221,262,311,437,613,818,1086,1438,1771,1980,2111,NA,NA
20641,397,156,China,Qingdao,36.09861,120.37194,NA,NA,NA,397,751,913,902,895,906,933,1095,1460,2101,2486,2940,3411,3952,4566,5139,5601,5920,5,6
20644,400,156,China,Qinhuangdao,39.93167,119.58833,NA,NA,NA,400,91,106,125,147,173,203,238,289,358,501,702,825,958,1109,1253,1376,1470,NA,NA
20646,402,156,China,Qiqihaer,47.34083,123.96722,NA,NA,NA,402,313,367,431,505,591,693,812,952,1115,1151,1188,1269,1358,1452,1556,1687,1798,NA,NA
20648,404,156,China,Quanzhou,24.896763,118.599688,NA,NA,NA,404,104,110,116,122,129,136,143,152,174,356,728,926,1139,1395,1635,1808,1928,NA,NA
20656,416,156,China,Shanghai,31.22222,121.45806,NA,NA,NA,416,4301,5846,6820,6428,6036,5627,5966,6847,7823,10450,13959,16763,19980,23741,27137,29442,30751,51,50
20659,420,156,China,Shantou,23.36814,116.71479,NA,NA,NA,420,270,287,305,325,345,380,420,528,725,1457,2931,3326,3623,3949,4281,4631,4899,NA,NA
20663,423,156,China,Shaoxing,30.011,120.5715,NA,NA,NA,423,64,79,96,118,144,176,215,316,525,768,1124,1392,1702,2076,2423,2672,2841,NA,NA
20666,426,156,China,Shenyang,41.79222,123.43278,NA,NA,NA,426,2148,2408,2699,2924,3156,3291,3418,3537,3651,4081,4562,5089,5676,6315,6932,7503,7911,6,6
20667,427,156,China,Shenzhen,22.541487,114.063427,NA,NA,NA,427,3,5,8,13,22,36,58,175,875,2394,6550,8409,10223,10749,11287,12067,12673,18,18
20669,429,156,China,Shijiazhuang,38.041845,114.510846,NA,NA,NA,429,272,407,505,609,692,825,991,1172,1372,1621,1914,2288,2737,3264,3753,4117,4362,NA,NA
20677,442,156,China,Suqian,33.968102,118.292384,NA,NA,NA,442,1,1,3,5,9,17,32,61,114,212,397,558,767,1050,1323,1488,1591,NA,NA
20678,444,156,China,Suzhou  Jiangsu,31.302068,120.585259,NA,NA,NA,444,457,486,516,536,508,530,556,718,1067,1501,2112,2908,3997,5472,6876,7669,8098,NA,NA
20681,445,156,China,Taian  Shandong,36.190371,117.119081,NA,NA,NA,445,4,6,12,21,37,65,116,206,367,577,910,1020,1117,1220,1326,1444,1541,NA,NA
20682,447,156,China,Taichung,24.141613,120.67274,NA,NA,NA,447,198,242,295,360,440,537,607,682,765,864,978,1058,1140,1225,1318,1432,1528,NA,NA
20684,449,156,China,Taipei,25.047009,121.54568,NA,NA,NA,449,503,684,930,1265,1720,2023,2273,2497,2737,2698,2630,2638,2654,2666,2742,2938,3116,25,26
20685,452,156,China,Taiyuan  Shanxi,37.861899,112.551572,NA,NA,NA,452,197,262,350,466,622,829,1106,1376,1637,2024,2503,2809,3131,3482,3824,4152,4396,NA,NA
20686,453,156,China,Taizhou Jiangsu,32.494536,119.902861,NA,NA,NA,453,11,16,24,35,52,76,111,162,238,432,784,919,1045,1184,1319,1444,1541,NA,NA
20687,455,156,China,Tangshan Hebei,39.628484,118.179931,NA,NA,NA,455,448,507,574,649,646,692,758,922,996,1188,1418,1765,2204,2743,3244,3582,3801,NA,NA
20689,457,156,China,Tianjin,39.108842,117.18862,NA,NA,NA,457,2467,2761,2935,3121,3318,3527,3750,4097,4558,5513,6670,7944,9451,11210,12816,13955,14655,3,3
20704,467,156,China,Ürümqi (Wulumqi),43.82532,87.603835,NA,NA,NA,467,102,174,296,472,581,715,881,1055,1241,1497,1807,2251,2811,3499,4135,4561,4831,14,14
20706,469,156,China,Weifang,36.71,119.10194,NA,NA,NA,469,129,164,208,256,286,319,356,454,634,885,1235,1507,1821,2195,2542,2797,2973,NA,NA
20710,473,156,China,Wenzhou,27.99942,120.66682,NA,NA,NA,473,151,231,419,689,767,853,949,1034,1111,1318,1565,2186,2652,3208,3722,4091,4336,5,5
20712,476,156,China,Wuhan,30.58333,114.26667,NA,NA,NA,476,1069,1489,1653,1836,2039,2265,2516,2897,3417,4763,6638,7129,7515,7906,8364,8970,9442,8,8
20713,477,156,China,Wuhu Anhui,31.333557,118.381175,NA,NA,NA,477,163,184,209,237,268,304,344,390,442,529,634,828,1088,1424,1743,1945,2074,NA,NA
20715,479,156,China,Wuxi Jiangsu,31.536681,120.298556,NA,NA,NA,479,366,414,470,532,602,682,773,876,992,1349,1835,2451,2737,3049,3354,3644,3862,1,1
20720,481,156,China,Xiamen,24.47979,118.08187,NA,NA,NA,481,193,248,317,392,418,445,491,556,639,952,1416,2076,3040,4430,5800,6534,6911,6,6
20721,482,156,China,Xi'an Shaanxi,34.289413,108.940242,NA,NA,NA,482,575,706,782,866,960,1063,1178,1517,2157,2821,3690,4375,5149,6044,6869,7493,7904,NA,NA
20723,484,156,China,Xiangtan Hunan,27.828265,112.926952,NA,NA,NA,484,171,193,218,247,279,315,357,403,456,564,698,793,896,1010,1121,1227,1311,NA,NA
20736,495,156,China,Xining,36.61667,101.76667,NA,NA,NA,495,70,114,184,279,321,371,427,500,592,707,844,983,1142,1323,1495,1641,1750,NA,NA
20746,507,156,China,Xuzhou,34.263685,117.186605,NA,NA,NA,507,341,397,462,528,557,588,621,686,781,1033,1367,1543,1722,1918,2110,2299,2445,NA,NA
