yearBegin,yearEnd,idOri,nameOri,idDes,nameDes,transportMode,length,notes
2010,2014,22860,London,22922,Atlanta,1,,air
2010,2014,22860,London,23052,Los Angeles-Long Beach-Santa Ana,1,,air
2010,2014,21671,Tokyo,23013,Honolulu,1,,air
2010,2014,22299,Moskva (Moscow),23083,New York-Newark,1,,air
2010,2014,20402,Toronto,21930,Amsterdam,1,,air
2010,2014,22635,Dubayy (Dubai),21523,Tehran,1,,air
2010,2014,22635,Dubayy (Dubai),20049,Luanda,1,,air
2010,2014,21523,Tehran,22635,Dubayy (Dubai),1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),20109,Al-Manamah (Manama),1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22042,Islamabad,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22046,Lahore,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22860,London,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),204371,München (Munich),1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22432,Ar-Riyadh (Riyadh),1,,air
2010,2014,20109,Al-Manamah (Manama),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22042,Islamabad,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22046,Lahore,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22860,London,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,204371,München (Munich),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22432,Ar-Riyadh (Riyadh),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,20109,Al-Manamah (Manama),22421,Jiddah,1,,air
2010,2014,20109,Al-Manamah (Manama),22044,Karachi,1,,air
2010,2014,20109,Al-Manamah (Manama),22051,Peshawar,1,,air
2010,2014,22421,Jiddah,20109,Al-Manamah (Manama),1,,air
2010,2014,22044,Karachi,20109,Al-Manamah (Manama),1,,air
2010,2014,22051,Peshawar,20109,Al-Manamah (Manama),1,,air
2010,2014,21137,Hong Kong,20464,Beijing,1,,air
2010,2014,20464,Beijing,21137,Hong Kong,1,,air
2010,2014,22966,Dallas-Fort Worth,22860,London,1,,air
2010,2014,20058,Buenos Aires,22549,Madrid,1,,air
2010,2014,20272,Rio de Janeiro,22549,Madrid,1,,air
2010,2014,20287,São Paulo,22549,Madrid,1,,air
2010,2014,20903,Guayaquil,22549,Madrid,1,,air
2010,2014,23083,New York-Newark,22860,London,1,,air
2010,2014,23052,Los Angeles-Long Beach-Santa Ana,22860,London,1,,air
2010,2014,22860,London,22966,Dallas-Fort Worth,1,,air
2010,2014,22860,London,23083,New York-Newark,1,,air
2010,2014,22860,London,23052,Los Angeles-Long Beach-Santa Ana,1,,air
2010,2014,22860,London,22549,Madrid,1,,air
2010,2014,22860,London,23064,Miami,1,,air
2010,2014,22860,London,22956,Chicago,1,,air
2010,2014,22078,Lima,22549,Madrid,1,,air
2010,2014,22549,Madrid,20058,Buenos Aires,1,,air
2010,2014,22549,Madrid,20272,Rio de Janeiro,1,,air
2010,2014,22549,Madrid,20287,São Paulo,1,,air
2010,2014,22549,Madrid,22860,London,1,,air
2010,2014,22549,Madrid,22078,Lima,1,,air
2010,2014,22549,Madrid,22063,Ciudad de Panamá (Panama City),1,,air
2010,2014,22549,Madrid,20439,Santiago,1,,air
2010,2014,22549,Madrid,20910,Quito,1,,air
2010,2014,23064,Miami,22860,London,1,,air
2010,2014,22956,Chicago,22860,London,1,,air
2010,2014,22063,Ciudad de Panamá (Panama City),22549,Madrid,1,,air
2010,2014,20439,Santiago,22549,Madrid,1,,air
2010,2014,20910,Quito,20903,Guayaquil,1,,air
2010,2014,23237,Adan (Aden),23239,Sana'a',1,,air
2010,2014,22812,Al-Qahirah (Cairo),23239,Sana'a',1,,air
2010,2014,23238,Al-Hudaydah,23239,Sana'a',1,,air
2010,2014,22421,Jiddah,23239,Sana'a',1,,air
2010,2014,23239,Sana'a',23237,Adan (Aden),1,,air
2010,2014,23239,Sana'a',22812,Al-Qahirah (Cairo),1,,air
2010,2014,23239,Sana'a',23238,Al-Hudaydah,1,,air
2010,2014,23239,Sana'a',22421,Jiddah,1,,air
2010,2014,23239,Sana'a',23741,Al-Mukalla,1,,air
2010,2014,20287,São Paulo,22486,Johannesburg,1,,air
2010,2014,20287,São Paulo,20244,Manaus,1,,air
2010,2014,20287,São Paulo,20264,Pôrto Alegre,1,,air
2010,2014,22486,Johannesburg,20287,São Paulo,1,,air
2010,2014,20244,Manaus,20287,São Paulo,1,,air
2010,2014,20264,Pôrto Alegre,20287,São Paulo,1,,air
2010,2014,23013,Honolulu,21671,Tokyo,1,,air
2010,2014,20684,Taipei,21137,Hong Kong,1,,air
2010,2014,206168,Melbourne,206167,Sydney,1,,air
2010,2014,20093,Gold Coast,206167,Sydney,1,,air
2010,2014,206167,Sydney,206168,Melbourne,1,,air
2010,2014,20517,Guangzhou Guangdong,21137,Hong Kong,1,,air
2010,2014,20480,Chengdu,21137,Hong Kong,1,,air
2010,2014,20524,Hangzhou,21137,Hong Kong,1,,air
2010,2014,21137,Hong Kong,20517,Guangzhou Guangdong,1,,air
2010,2014,21137,Hong Kong,20480,Chengdu,1,,air
2010,2014,21137,Hong Kong,20524,Hangzhou,1,,air
2010,2014,21137,Hong Kong,20584,Kaohsiung,1,,air
2010,2014,21137,Hong Kong,20590,Kunming,1,,air
2010,2014,21137,Hong Kong,20625,Nanjing Jiangsu,1,,air
2010,2014,21137,Hong Kong,20464,Beijing,1,,air
2010,2014,21137,Hong Kong,20656,Shanghai,1,,air
2010,2014,21137,Hong Kong,20684,Taipei,1,,air
2010,2014,21137,Hong Kong,20720,Xiamen,1,,air
2010,2014,20584,Kaohsiung,21137,Hong Kong,1,,air
2010,2014,20590,Kunming,21137,Hong Kong,1,,air
2010,2014,20625,Nanjing Jiangsu,21137,Hong Kong,1,,air
2010,2014,20464,Beijing,21137,Hong Kong,1,,air
2010,2014,20656,Shanghai,21137,Hong Kong,1,,air
2010,2014,20684,Taipei,21137,Hong Kong,1,,air
2010,2014,20720,Xiamen,21137,Hong Kong,1,,air
2010,2014,21758,Seoul,20656,Shanghai,1,,air
2010,2014,20656,Shanghai,21758,Seoul,1,,air
2010,2014,21930,Amsterdam,22974,Detroit,1,,air
2010,2014,21930,Amsterdam,23083,New York-Newark,1,,air
2010,2014,21930,Amsterdam,21671,Tokyo,1,,air
2010,2014,21930,Amsterdam,20402,Toronto,1,,air
2010,2014,22922,Atlanta,22860,London,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22046,Lahore,1,,air
2010,2014,22974,Detroit,21930,Amsterdam,1,,air
2010,2014,23083,New York-Newark,21930,Amsterdam,1,,air
2010,2014,22046,Lahore,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22860,London,22922,Atlanta,1,,air
2010,2014,21671,Tokyo,21930,Amsterdam,1,,air
2010,2014,20402,Toronto,21930,Amsterdam,1,,air
2010,2014,21700,Amman,21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,22812,Al-Qahirah (Cairo),21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,22635,Dubayy (Dubai),21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,22421,Jiddah,21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,21769,Al Kuwayt (Kuwait City),21700,Amman,1,,air
2010,2014,21769,Al Kuwayt (Kuwait City),22812,Al-Qahirah (Cairo),1,,air
2010,2014,21769,Al Kuwayt (Kuwait City),22635,Dubayy (Dubai),1,,air
2010,2014,21769,Al Kuwayt (Kuwait City),22421,Jiddah,1,,air
2010,2014,21769,Al Kuwayt (Kuwait City),22432,Ar-Riyadh (Riyadh),1,,air
2010,2014,22432,Ar-Riyadh (Riyadh),21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,20058,Buenos Aires,20439,Santiago,1,,air
2010,2014,20903,Guayaquil,22549,Madrid,1,,air
2010,2014,22078,Lima,22549,Madrid,1,,air
2010,2014,22549,Madrid,22078,Lima,1,,air
2010,2014,20439,Santiago,20058,Buenos Aires,1,,air
2010,2014,22486,Johannesburg,204371,München (Munich),1,,air
2010,2014,22860,London,20402,Toronto,1,,air
2010,2014,204371,München (Munich),22486,Johannesburg,1,,air
2010,2014,20402,Toronto,22860,London,1,,air
2010,2014,21549,Tel Aviv-Yafo (Tel Aviv-Jaffa),22606,Zürich (Zurich),1,,air
2010,2014,22606,Zürich (Zurich),21549,Tel Aviv-Yafo (Tel Aviv-Jaffa),1,,air
2010,2014,21773,Bayrut (Beirut),22691,Istanbul,1,,air
2010,2014,21773,Bayrut (Beirut),22432,Ar-Riyadh (Riyadh),1,,air
