cityCode,index,countryCode,countryName,cityName,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20972,654,250,France,Lyon,45.74846,4.84671,NA,1970,1983,654,731,768,904,1027,1116,1178,1278,1336,1370,1404,1443,1496,1551,1609,1682,1749,1814,7,7
20973,655,250,France,Marseille-Aix-en-Provence,43.528414,5.443298,NA,1970,2001,655,756,798,929,1069,1182,1258,1372,1415,1418,1444,1474,1516,1560,1605,1669,1735,1798,6,6
20978,656,250,France,Montpellier,43.61092,3.87723,NA,1973,2001,656,100,105,121,151,186,214,250,278,302,326,350,370,391,413,439,462,485,3,3
20981,657,250,France,Nantes,47.21725,-1.55336,NA,1989,1990,657,276,297,343,385,421,454,462,478,498,524,550,570,591,613,643,673,704,2,2
20982,658,250,France,Nice-Cannes,43.6646,7.15339,NA,1973,NA,658,400,426,495,568,637,698,733,788,854,874,895,918,942,967,1005,1048,1091,15,15
20985,659,250,France,Paris,48.85341,2.3488,NA,1968,1983,659,6283,6796,7411,7855,8208,8558,8669,8956,9330,9510,9737,10092,10460,10843,11271,11565,11803,85,85
20990,660,250,France,Rennes,48.11198,-1.67429,NA,1980,2017,660,123,135,160,188,212,230,233,239,246,261,276,293,311,329,351,370,389,NA,NA
20991,661,250,France,Rouen,49.44313,1.09932,NA,1972,NA,661,312,324,358,395,423,439,447,452,456,460,463,463,464,464,476,497,521,NA,NA
20992,662,250,France,Saint-Étienne,45.43333,4.4,NA,1970,NA,662,352,364,383,401,412,416,412,409,407,392,380,376,371,367,374,390,410,NA,NA
20994,663,250,France,Strasbourg,48.58342,7.74296,NA,1977,2016,663,262,270,298,327,350,366,372,380,390,411,430,440,450,461,479,502,526,NA,NA
20996,664,250,France,Toulon,43.123989,5.933225,NA,1975,NA,664,229,246,293,342,385,420,443,462,480,502,524,541,558,576,602,630,659,1,1
