eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportModeCode,length,notes
1940,,204332,Frankfurt am Main,20144,Bruxelles-Brussel,1,317,air
1940,,20144,Bruxelles-Brussel,204332,Frankfurt am Main,1,317,air
1940,,204332,Frankfurt am Main,20144,Bruxelles-Brussel,1,317,air
1940,,20144,Bruxelles-Brussel,22860,London,1,320,air
1940,,22860,London,20144,Bruxelles-Brussel,1,320,air
1940,,20144,Bruxelles-Brussel,22860,London,1,320,air
1940,,22860,London,20144,Bruxelles-Brussel,1,320,air
1940,,23043,Las Vegas,23116,Riverside-San Bernardino,1,321,air
1940,,23116,Riverside-San Bernardino,23043,Las Vegas,1,321,air
1940,,23370,Nha Trang,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,321,air
1940,,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),23370,Nha Trang,1,321,air
1940,,20006,El Djazaïr  (Algiers),20019,Qacentina,1,321,air
1940,,20019,Qacentina,20006,El Djazaïr  (Algiers),1,321,air
1940,,22526,Bilbao,22549,Madrid,1,323,air
1940,,22549,Madrid,22526,Bilbao,1,323,air
1940,,22692,Izmir,22691,Istanbul,1,328,air
1940,,22691,Istanbul,22692,Izmir,1,328,air
1940,,204303,Bremen,204332,Frankfurt am Main,1,329,air
1940,,204332,Frankfurt am Main,204303,Bremen,1,329,air
1940,,22415,Buraydah,22432,Ar-Riyadh (Riyadh),1,329,air
1940,,22432,Ar-Riyadh (Riyadh),22415,Buraydah,1,329,air
1940,,22421,Jiddah,22427,Al-Madinah (Medina),1,330,air
1940,,22427,Al-Madinah (Medina),22421,Jiddah,1,330,air
1940,,20812,Cali,20827,Medellín,1,331,air
1940,,20827,Medellín,20812,Cali,1,331,air
1940,,21758,Seoul,21757,Busan,1,331,air
1940,,22974,Detroit,23100,Pittsburgh,1,338,air
1940,,23100,Pittsburgh,22974,Detroit,1,338,air
1940,,21493,Esfahan,21523,Tehran,1,339,air
1940,,21523,Tehran,21493,Esfahan,1,339,air
1940,,204312,Duesseldorf,204341,Hamburg,1,339,air
1940,,204341,Hamburg,204312,Duesseldorf,1,339,air
1940,,20985,Paris,20981,Nantes,1,342,air
1940,,20981,Nantes,20985,Paris,1,342,air
1940,,20985,Paris,20981,Nantes,1,342,air
1940,,20981,Nantes,20985,Paris,1,342,air
1940,,20985,Paris,22860,London,1,344,air
1940,,22860,London,20985,Paris,1,344,air
1940,,20985,Paris,22860,London,1,344,air
1940,,22860,London,20985,Paris,1,344,air
1940,,20985,Paris,22860,London,1,344,air
1940,,22860,London,20985,Paris,1,344,air
1940,,22922,Atlanta,23077,Nashville-Davidson,1,344,air
1940,,23077,Nashville-Davidson,22922,Atlanta,1,344,air
1940,,22922,Atlanta,23077,Nashville-Davidson,1,344,air
1940,,23077,Nashville-Davidson,22922,Atlanta,1,344,air
1940,,22922,Atlanta,23077,Nashville-Davidson,1,344,air
1940,,23077,Nashville-Davidson,22922,Atlanta,1,344,air
1940,,22922,Atlanta,23077,Nashville-Davidson,1,344,air
1940,,23077,Nashville-Davidson,22922,Atlanta,1,344,air
1940,,22922,Atlanta,23077,Nashville-Davidson,1,344,air
1940,,23077,Nashville-Davidson,22922,Atlanta,1,344,air
1940,,22947,Buffalo,22974,Detroit,1,351,air
1940,,22974,Detroit,22947,Buffalo,1,351,air
1940,,20035,Wahran (Oran),20006,El Djazaïr  (Algiers),1,351,air
1940,,20387,Ottawa-Gatineau,20402,Toronto,1,351,air
1940,,20402,Toronto,20387,Ottawa-Gatineau,1,351,air
1940,,22656,Ankara,22691,Istanbul,1,352,air
1940,,22691,Istanbul,22656,Ankara,1,352,air
1940,,20894,København (Copenhagen),204296,Berlin,1,355,air
1940,,204296,Berlin,20894,København (Copenhagen),1,355,air
1940,,20894,København (Copenhagen),204296,Berlin,1,355,air
1940,,204296,Berlin,20894,København (Copenhagen),1,355,air
1940,,20894,København (Copenhagen),204296,Berlin,1,355,air
1940,,20894,København (Copenhagen),204296,Berlin,1,355,air
1940,,204296,Berlin,20894,København (Copenhagen),1,355,air
1940,,20894,København (Copenhagen),204296,Berlin,1,355,air
1940,,204296,Berlin,20894,København (Copenhagen),1,355,air
1940,,20684,Taipei,20720,Xiamen,1,355,air
1940,,20720,Xiamen,20684,Taipei,1,355,air
1940,,204371,München (Munich),20107,Wien (Vienna),1,356,air
1940,,204371,München (Munich),20107,Wien (Vienna),1,356,air
1940,,20107,Wien (Vienna),204371,München (Munich),1,356,air
1940,,21930,Amsterdam,22860,London,1,357,air
1940,,22860,London,21930,Amsterdam,1,357,air
1940,,21930,Amsterdam,22860,London,1,357,air
1940,,22860,London,21930,Amsterdam,1,357,air
1940,,21930,Amsterdam,22860,London,1,357,air
1940,,22860,London,21930,Amsterdam,1,357,air
1940,,20972,Lyon,20997,Toulouse,1,359,air
1940,,20997,Toulouse,20972,Lyon,1,359,air
1940,,20972,Lyon,20997,Toulouse,1,359,air
1940,,20997,Toulouse,20972,Lyon,1,359,air
1940,,21430,Vadodara,21206,Mumbai (Bombay),1,360,air
1940,,21206,Mumbai (Bombay),21430,Vadodara,1,360,air
1940,,21430,Vadodara,21206,Mumbai (Bombay),1,360,air
1940,,22676,Denizli,22691,Istanbul,1,360,air
1940,,22691,Istanbul,22676,Denizli,1,360,air
1940,,20937,Helsinki,21778,Riga,1,362,air
1940,,21778,Riga,20937,Helsinki,1,362,air
1940,,21967,Managua,20917,San Salvador,1,362,air
1940,,20917,San Salvador,21967,Managua,1,362,air
1940,,22976,Durham,23174,Washington D.C.,1,363,air
1940,,20517,Guangzhou Guangdong,20789,Zhanjiang,1,363,air
1940,,20789,Zhanjiang,20517,Guangzhou Guangdong,1,363,air
1940,,21930,Amsterdam,204332,Frankfurt am Main,1,364,air
1940,,204332,Frankfurt am Main,21930,Amsterdam,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,22954,Charlotte,22922,Atlanta,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
