cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20689,457,156,China,Tianjin,39.108842,117.18862,NA,NA,NA,457,2467,2761,2935,3121,3318,3527,3750,4097,4558,5513,6670,7944,9451,11210,12816,13955,14655,3,3
20704,467,156,China,Ürümqi (Wulumqi),43.82532,87.603835,NA,NA,NA,467,102,174,296,472,581,715,881,1055,1241,1497,1807,2251,2811,3499,4135,4561,4831,14,14
20706,469,156,China,Weifang,36.71,119.10194,NA,NA,NA,469,129,164,208,256,286,319,356,454,634,885,1235,1507,1821,2195,2542,2797,2973,NA,NA
20710,473,156,China,Wenzhou,27.99942,120.66682,NA,NA,NA,473,151,231,419,689,767,853,949,1034,1111,1318,1565,2186,2652,3208,3722,4091,4336,5,5
20712,476,156,China,Wuhan,30.58333,114.26667,NA,NA,NA,476,1069,1489,1653,1836,2039,2265,2516,2897,3417,4763,6638,7129,7515,7906,8364,8970,9442,8,8
20713,477,156,China,Wuhu Anhui,31.333557,118.381175,NA,NA,NA,477,163,184,209,237,268,304,344,390,442,529,634,828,1088,1424,1743,1945,2074,NA,NA
20715,479,156,China,Wuxi Jiangsu,31.536681,120.298556,NA,NA,NA,479,366,414,470,532,602,682,773,876,992,1349,1835,2451,2737,3049,3354,3644,3862,1,1
20720,481,156,China,Xiamen,24.47979,118.08187,NA,NA,NA,481,193,248,317,392,418,445,491,556,639,952,1416,2076,3040,4430,5800,6534,6911,6,6
20721,482,156,China,Xi'an Shaanxi,34.289413,108.940242,NA,NA,NA,482,575,706,782,866,960,1063,1178,1517,2157,2821,3690,4375,5149,6044,6869,7493,7904,NA,NA
20723,484,156,China,Xiangtan Hunan,27.828265,112.926952,NA,NA,NA,484,171,193,218,247,279,315,357,403,456,564,698,793,896,1010,1121,1227,1311,NA,NA
20736,495,156,China,Xining,36.61667,101.76667,NA,NA,NA,495,70,114,184,279,321,371,427,500,592,707,844,983,1142,1323,1495,1641,1750,NA,NA
20746,507,156,China,Xuzhou,34.263685,117.186605,NA,NA,NA,507,341,397,462,528,557,588,621,686,781,1033,1367,1543,1722,1918,2110,2299,2445,NA,NA
20750,509,156,China,Yancheng Jiangsu,33.356867,120.155148,NA,NA,NA,509,46,60,78,102,134,175,229,300,392,513,671,867,1118,1436,1735,1931,2059,NA,NA
20753,512,156,China,Yangzhou,32.391492,119.423807,NA,NA,NA,512,170,187,206,226,247,270,294,382,557,823,1217,1396,1572,1765,1954,2132,2269,NA,NA
20755,515,156,China,Yantai,37.465087,121.437152,NA,NA,NA,515,92,135,200,263,216,234,241,299,422,717,1218,1488,1777,2114,2430,2670,2838,1,1
20757,517,156,China,Yichang,30.71444,111.28472,NA,NA,NA,517,59,78,104,138,183,244,324,407,492,583,692,845,1035,1264,1478,1634,1743,NA,NA
20761,520,156,China,Yinchuan,38.46806,106.27306,NA,NA,NA,520,59,90,110,134,163,199,242,302,384,468,571,800,1133,1596,2049,2309,2461,NA,NA
20763,522,156,China,Yingkou,40.66482,122.22833,NA,NA,NA,522,120,139,162,188,218,253,294,361,458,535,624,737,871,1026,1173,1292,1380,NA,NA
20766,524,156,China,Yiwu,29.31506,120.07676,NA,NA,NA,524,3,5,8,12,19,30,47,73,114,247,532,691,866,1080,1282,1423,1520,1,1
20783,540,156,China,Zaozhuang,34.86472,117.55417,NA,NA,NA,540,130,144,160,178,198,220,245,272,303,508,853,927,977,1028,1092,1183,1264,NA,NA
20789,547,156,China,Zhanjiang,21.266159,110.359639,NA,NA,NA,547,152,176,203,235,272,314,363,420,486,630,818,923,1031,1149,1266,1383,1476,1,1
20793,551,156,China,Zhengzhou,34.75778,113.64861,NA,NA,NA,551,196,248,315,400,508,645,819,982,1134,1663,2438,2993,3630,4387,5086,5579,5900,10,10
20794,552,156,China,Zhenjiang Jiangsu,32.202713,119.44894,NA,NA,NA,552,199,203,208,215,235,257,280,304,328,494,743,846,944,1050,1156,1263,1349,NA,NA
20797,559,156,China,Zhuhai,22.2769,113.5678,NA,NA,NA,559,3,5,7,11,17,25,39,84,220,470,1004,1192,1358,1542,1719,1880,2003,NA,NA
20800,562,156,China,Zhuzhou,27.83333,113.15,NA,NA,NA,562,116,135,158,184,215,250,292,351,430,593,819,909,993,1083,1177,1282,1369,NA,NA
20801,563,156,China,Zibo,36.79056,118.06333,NA,NA,NA,563,164,199,242,294,357,434,527,640,777,1207,1874,2078,2250,2430,2621,2839,3015,NA,NA
20808,570,170,Colombia,Barranquilla,10.96389,-74.79639,NA,NA,NA,570,294,366,455,565,691,830,961,1113,1229,1363,1531,1719,1857,1991,2094,2231,2370,2,3
20809,572,170,Colombia,Bucaramanga,7.12539,-73.1198,NA,NA,NA,572,110,145,190,250,325,408,473,548,650,759,855,964,1086,1215,1315,1414,1507,1,2
20812,574,170,Colombia,Cali,3.43722,-76.5225,NA,NA,NA,574,231,331,474,664,851,1047,1192,1357,1552,1757,1950,2164,2402,2646,2830,3022,3203,6,5
20813,575,170,Colombia,Cartagena,10.39972,-75.51444,NA,NA,NA,575,107,137,177,226,274,332,402,486,561,645,737,842,963,1092,1193,1286,1372,2,2
20827,579,170,Colombia,Medellín,6.25184,-75.56359,NA,NA,NA,579,376,523,727,992,1260,1536,1731,1950,2135,2372,2724,3127,3510,3911,4210,4492,4747,5,5
